噪声率,模型,Accuracy,F1,ROC-AUC
0.0,Logistic回归（基线）,0.9714,0.9719,0.9887
0.0,SVM（线性核）,0.9661,0.9668,0.9887
0.0,随机森林,0.9988,0.9988,1.0
0.0,XGBoost（上线模型）,0.9998,0.9998,1.0
0.05,Logistic回归（基线）,0.9198,0.9219,0.9376
0.05,SVM（线性核）,0.9151,0.9177,0.9376
0.05,随机森林,0.9466,0.9464,0.9486
0.05,XGBoost（上线模型）,0.9469,0.9467,0.9489
0.1,Logistic回归（基线）,0.8726,0.8757,0.892
0.1,SVM（线性核）,0.869,0.8727,0.8918
0.1,随机森林,0.8979,0.8972,0.8987
0.1,XGBoost（上线模型）,0.8974,0.8969,0.902
0.15,Logistic回归（基线）,0.8286,0.8331,0.8478
0.15,SVM（线性核）,0.826,0.8309,0.8477
0.15,随机森林,0.8511,0.8501,0.856
0.15,XGBoost（上线模型）,0.852,0.8512,0.8546
0.2,Logistic回归（基线）,0.7826,0.7878,0.8007
0.2,SVM（线性核）,0.7818,0.7874,0.8006
0.2,随机森林,0.7986,0.7966,0.8076
0.2,XGBoost（上线模型）,0.8015,0.7999,0.8051
